#hg38.knownCanonical.transcript	hg38.refGene.name	hg38.refGene.name2
ENST00000367772.8	NM_181093	SCYL3
ENST00000416774.1	NR_038869	LINC01342
ENST00000420029.1	n/a	n/a
ENST00000420237.1	n/a	n/a
ENST00000451797.1	n/a	n/a
ENST00000452587.1	n/a	n/a
ENST00000456086.1	n/a	n/a
ENST00000429469.1	n/a	n/a
ENST00000425517.1	NR_146608	LINC01707
ENST00000457810.2	n/a	n/a
ENST00000394513.2	n/a	n/a
ENST00000446055.1	n/a	n/a
ENST00000416440.2	NR_073400	MGC34796
ENST00000413901.1	n/a	n/a
ENST00000426826.2	n/a	n/a
ENST00000424995.1	NR_110665	ROR1-AS1
ENST00000451914.1	NR_147163	LINC01767
ENST00000447914.2	n/a	n/a
ENST00000456328.2	NR_046018	DDX11L1
ENST00000473818.1	NR_033826	SNRPD2P2
ENST00000454104.1	n/a	n/a
ENST00000452366.1	n/a	n/a
ENST00000452704.1	n/a	n/a
ENST00000419500.1	n/a	n/a
ENST00000343938.8	NM_001029885	CPTP
ENST00000455684.1	n/a	n/a
ENST00000373604.4	n/a	n/a
ENST00000634870.1	NR_104131	SLC44A3-AS1
ENST00000427243.5	NR_034091	LOC100129046
ENST00000451736.1	n/a	n/a
ENST00000446238.1	n/a	n/a
ENST00000418220.1	n/a	n/a
ENST00000427892.1	n/a	n/a
ENST00000456651.1	n/a	n/a
ENST00000452795.2	n/a	n/a
ENST00000414693.1	n/a	n/a
ENST00000416185.2	n/a	n/a
ENST00000634725.1	NR_038252	LINC00466
ENST00000641567.1	n/a	n/a
ENST00000432694.2	n/a	n/a
ENST00000423984.2	NR_126447	WARS2-IT1
ENST00000429744.2	n/a	n/a
ENST00000635112.1	NR_038849	LINC01133
ENST00000424696.6	n/a	n/a
ENST00000453374.2	n/a	n/a
ENST00000415726.1	n/a	n/a
ENST00000447592.1	n/a	n/a
ENST00000440404.5	NR_026957	LINC01142
ENST00000419578.1	n/a	n/a
ENST00000425205.1	n/a	n/a
ENST00000428803.2	n/a	n/a
ENST00000431782.1	n/a	n/a
ENST00000437080.1	n/a	n/a
ENST00000444107.1	n/a	n/a
ENST00000450470.2	n/a	n/a
ENST00000435243.2	n/a	n/a
ENST00000456484.1	n/a	n/a
ENST00000424448.2	n/a	n/a
ENST00000423121.1	NR_125374	TMCO1-AS1
ENST00000457477.2	n/a	n/a
ENST00000441760.2	NR_104189,	SRGAP2-AS1,
ENST00000424657.1	n/a	n/a
ENST00000414640.1	n/a	n/a
ENST00000421619.1	n/a	n/a
ENST00000412876.1	n/a	n/a
ENST00000634316.1	NR_125951	LINC01708
ENST00000418525.1	NR_149050	SLC25A34-AS1
ENST00000415474.1	n/a	n/a
ENST00000441182.1	n/a	n/a
ENST00000457852.3	NR_149048	LAMC1-AS1
ENST00000648583.1	n/a	n/a
ENST00000440382.1	n/a	n/a
ENST00000444546.1	n/a	n/a
ENST00000419446.1	n/a	n/a
ENST00000414328.2	n/a	n/a
ENST00000438623.1	n/a	n/a
ENST00000421878.2	n/a	n/a
ENST00000439570.1	n/a	n/a
ENST00000454651.2	n/a	n/a
ENST00000429208.1	n/a	n/a
ENST00000416095.1	n/a	n/a
ENST00000414727.2	n/a	n/a
ENST00000426714.1	n/a	n/a
ENST00000436983.2	n/a	n/a
ENST00000428151.1	n/a	n/a
ENST00000498507.1	n/a	n/a
ENST00000647858.1	NR_027120	HSD52
ENST00000444810.5	NM_001286997	LOC101928436
ENST00000650038.1	NR_110434	RTCA-AS1
ENST00000454867.2	n/a	n/a
ENST00000426353.1	n/a	n/a
ENST00000436895.1	n/a	n/a
ENST00000422153.1	n/a	n/a
ENST00000455509.1	n/a	n/a
ENST00000434265.2	n/a	n/a
ENST00000424043.3	n/a	n/a
ENST00000497678.2	n/a	n/a
ENST00000435130.1	n/a	n/a
ENST00000421505.1	NR_027982	RASAL2-AS1
ENST00000426992.2	n/a	n/a
ENST00000428391.1	n/a	n/a
ENST00000419814.1	n/a	n/a
ENST00000608253.1	n/a	n/a
ENST00000457106.1	n/a	n/a
ENST00000442318.1	NR_148934	LEMD1-DT
ENST00000457217.1	NR_125964	LINC01657
ENST00000451185.1	n/a	n/a
ENST00000419974.2	n/a	n/a
ENST00000438304.1	n/a	n/a
ENST00000422560.1	n/a	n/a
ENST00000421658.2	n/a	n/a
ENST00000427962.1	n/a	n/a
ENST00000429328.2	NR_047498	LINC00853
ENST00000411509.1	n/a	n/a
ENST00000430471.1	n/a	n/a
ENST00000421144.2	n/a	n/a
ENST00000418784.1	n/a	n/a
ENST00000443090.1	n/a	n/a
ENST00000450546.1	n/a	n/a
ENST00000634819.1	NR_121680	LINC01398
ENST00000447725.2	NR_015434	MRPL20-AS1
ENST00000455569.2	n/a	n/a
ENST00000440885.1	n/a	n/a
ENST00000438808.1	n/a	n/a
ENST00000432147.2	n/a	n/a
ENST00000429269.1	NR_033927	LINC00184
ENST00000412932.1	n/a	n/a
ENST00000456414.2	n/a	n/a
ENST00000455967.1	NR_046546	LINC02586
ENST00000505954.1	n/a	n/a
ENST00000451341.1	NR_126001	LINC01645
ENST00000458555.1	n/a	n/a
ENST00000424181.1	n/a	n/a
ENST00000421838.1	n/a	n/a
ENST00000420498.1	n/a	n/a
ENST00000452549.2	n/a	n/a
ENST00000426262.1	n/a	n/a
ENST00000515851.1	n/a	n/a
ENST00000445070.1	n/a	n/a
ENST00000450469.1	n/a	n/a
ENST00000454213.1	n/a	n/a
ENST00000452599.1	n/a	n/a
ENST00000421943.1	n/a	n/a
ENST00000650463.1	NR_103534	LINC00337
ENST00000456305.2	n/a	n/a
ENST00000450970.1	n/a	n/a
ENST00000441522.2	n/a	n/a
ENST00000445976.1	n/a	n/a
ENST00000439215.1	n/a	n/a
ENST00000436416.1	n/a	n/a
ENST00000430516.1	n/a	n/a
ENST00000440032.1	n/a	n/a
ENST00000441274.2	n/a	n/a
ENST00000445574.2	n/a	n/a
ENST00000450782.2	n/a	n/a
ENST00000449818.1	n/a	n/a
ENST00000443918.1	n/a	n/a
ENST00000440440.1	n/a	n/a
ENST00000425573.2	n/a	n/a
ENST00000440162.1	n/a	n/a
ENST00000444055.1	n/a	n/a
ENST00000441083.1	n/a	n/a
ENST00000453852.2	n/a	n/a
ENST00000602672.2	NR_146275	LINC01930
ENST00000445535.1	NR_024151	HSPA7
ENST00000436684.2	n/a	n/a
ENST00000417161.1	n/a	n/a
ENST00000430845.2	n/a	n/a
ENST00000445290.1	n/a	n/a
ENST00000413074.1	NR_110614	TAF1A-AS1
ENST00000437709.2	n/a	n/a
ENST00000435580.1	n/a	n/a
ENST00000430109.1	NR_125996	LINC01770
ENST00000437956.1	n/a	n/a
ENST00000426104.1	n/a	n/a
ENST00000417786.1	n/a	n/a
ENST00000630229.1	n/a	n/a
ENST00000439239.2	n/a	n/a
ENST00000448643.1	n/a	n/a
ENST00000497982.2	n/a	n/a
ENST00000416908.1	n/a	n/a
ENST00000416139.1	n/a	n/a
ENST00000456771.1	n/a	n/a
ENST00000420211.1	n/a	n/a
ENST00000435390.2	n/a	n/a
ENST00000425185.2	NR_146610	LINC01763
ENST00000432472.1	NR_026768	RPS15AP10
ENST00000424976.1	n/a	n/a
ENST00000442812.1	n/a	n/a
ENST00000450125.2	n/a	n/a
ENST00000430042.1	n/a	n/a
ENST00000453379.1	n/a	n/a
ENST00000440329.2	n/a	n/a
ENST00000513638.5	NR_003133	GBP1P1
ENST00000440471.1	n/a	n/a
ENST00000444042.2	n/a	n/a
ENST00000438556.1	n/a	n/a
ENST00000412855.2	NR_146920	LINC01703
ENST00000440142.2	n/a	n/a
ENST00000426090.1	n/a	n/a
ENST00000444330.1	n/a	n/a
ENST00000454109.1	NM_001136003	C2CD4D
ENST00000446002.1	NR_146917	LINC01710
ENST00000440164.1	n/a	n/a
ENST00000455497.2	n/a	n/a
ENST00000458146.1	n/a	n/a
ENST00000445982.5	NR_046600	MTOR-AS1
ENST00000435000.2	n/a	n/a
ENST00000635455.1	NR_125939	LOC101927342
ENST00000425821.2	n/a	n/a
ENST00000411431.1	n/a	n/a
ENST00000457061.1	NR_046839	AGBL4-IT1
ENST00000457540.1	n/a	n/a
ENST00000426901.1	n/a	n/a
ENST00000412797.1	n/a	n/a
ENST00000457635.2	n/a	n/a
ENST00000436739.1	n/a	n/a
ENST00000609696.1	NR_037870	CADM3-AS1
ENST00000456841.2	n/a	n/a
ENST00000423082.1	n/a	n/a
ENST00000445039.2	NR_131923	LINC01771
ENST00000438396.1	n/a	n/a
ENST00000443050.1	n/a	n/a
ENST00000433580.1	n/a	n/a
ENST00000488676.2	n/a	n/a
ENST00000435192.2	n/a	n/a
ENST00000428791.1	n/a	n/a
ENST00000441157.1	n/a	n/a
ENST00000413004.1	n/a	n/a
ENST00000450164.2	n/a	n/a
ENST00000420876.1	NR_126355	LINC01389
ENST00000424664.1	n/a	n/a
ENST00000457027.1	n/a	n/a
ENST00000452178.1	n/a	n/a
ENST00000420691.1	NR_024160	LINC00626
ENST00000432622.1	NM_001167676	FAM229A
ENST00000434718.2	n/a	n/a
ENST00000443642.1	NR_145424	RUSC1-AS1
ENST00000434447.5	n/a	n/a
ENST00000454544.2	n/a	n/a
ENST00000473798.1	NR_024321	LINC00115
ENST00000430683.1	n/a	n/a
ENST00000423060.1	NR_125952	LOC101928324
ENST00000424418.1	n/a	n/a
ENST00000426038.1	n/a	n/a
ENST00000428932.1	n/a	n/a
ENST00000430921.1	NR_146922	LINC01745
ENST00000424737.2	n/a	n/a
ENST00000439625.1	n/a	n/a
ENST00000456687.3	NR_121638,	LOC100996583,
ENST00000414330.2	n/a	n/a
ENST00000432195.1	NR_104626	LOC101928370
ENST00000419644.1	n/a	n/a
ENST00000416931.1	n/a	n/a
ENST00000428646.1	n/a	n/a
ENST00000452520.1	n/a	n/a
ENST00000442226.1	NR_110078	UBXN10-AS1
ENST00000438350.2	n/a	n/a
ENST00000447284.2	n/a	n/a
ENST00000414228.1	n/a	n/a
ENST00000425769.1	n/a	n/a
ENST00000413611.2	n/a	n/a
ENST00000421762.5	NR_125949	LOC101928118
ENST00000455938.1	n/a	n/a
ENST00000457898.1	NR_147210	LINC01772
ENST00000456479.1	n/a	n/a
ENST00000418344.1	NR_046088	LINC01776
ENST00000614062.1	NR_109754	LINC00623
ENST00000471722.1	n/a	n/a
ENST00000413943.1	n/a	n/a
ENST00000436509.2	n/a	n/a
ENST00000457466.1	n/a	n/a
ENST00000635446.1	n/a	n/a
ENST00000427668.1	n/a	n/a
ENST00000444461.1	n/a	n/a
ENST00000457012.2	n/a	n/a
ENST00000436879.2	n/a	n/a
ENST00000419536.1	NR_037864	AP4B1-AS1
ENST00000439394.1	NR_135035	LOC105378933
ENST00000427566.2	n/a	n/a
ENST00000433910.1	n/a	n/a
ENST00000423187.1	n/a	n/a
ENST00000448432.1	n/a	n/a
ENST00000457142.1	n/a	n/a
ENST00000447832.1	NR_038425	LEMD1-AS1
ENST00000431307.1	NR_125984	LINC02608
ENST00000422216.1	n/a	n/a
ENST00000440516.1	n/a	n/a
ENST00000442572.1	n/a	n/a
ENST00000422100.1	n/a	n/a
ENST00000422522.1	n/a	n/a
ENST00000443515.1	n/a	n/a
ENST00000428148.1	n/a	n/a
ENST00000635247.1	NR_147024	LINC01345
ENST00000436974.1	n/a	n/a
ENST00000440817.2	n/a	n/a
ENST00000457263.1	NR_077246	RPS14P3
ENST00000420977.1	n/a	n/a
ENST00000627431.2	NR_103744,	SLC16A1-AS1,
ENST00000289890.7	n/a	n/a
ENST00000433816.1	n/a	n/a
ENST00000443481.1	n/a	n/a
ENST00000445689.1	n/a	n/a
ENST00000634836.1	NR_146508	LINC01748
ENST00000428364.2	n/a	n/a
ENST00000445072.1	n/a	n/a
ENST00000421114.1	n/a	n/a
ENST00000414293.2	n/a	n/a
ENST00000447970.1	n/a	n/a
ENST00000451620.2	n/a	n/a
ENST00000419415.1	NR_145471	KIRREL1-IT1
ENST00000446261.1	n/a	n/a
ENST00000445254.1	n/a	n/a
ENST00000452221.1	n/a	n/a
ENST00000423510.2	n/a	n/a
ENST00000418657.2	n/a	n/a
ENST00000446145.1	n/a	n/a
ENST00000448412.2	n/a	n/a
ENST00000455363.2	n/a	n/a
ENST00000416141.3	n/a	n/a
ENST00000445563.2	n/a	n/a
ENST00000446199.2	n/a	n/a
ENST00000444923.1	n/a	n/a
ENST00000397383.2	n/a	n/a
ENST00000448791.1	n/a	n/a
ENST00000635702.1	n/a	n/a
ENST00000429230.1	n/a	n/a
ENST00000431492.2	n/a	n/a
ENST00000430724.2	n/a	n/a
ENST00000447710.1	n/a	n/a
ENST00000458151.1	NR_038953	LOC100507564
ENST00000455691.2	n/a	n/a
ENST00000456782.1	NR_126441	DISC1-IT1
ENST00000586465.5	n/a	n/a
ENST00000424004.1	n/a	n/a
ENST00000411498.1	n/a	n/a
ENST00000425896.1	n/a	n/a
ENST00000451975.2	n/a	n/a
ENST00000429211.2	n/a	n/a
ENST00000419428.2	n/a	n/a
ENST00000440494.1	NR_033883	LINC02774
ENST00000413103.2	n/a	n/a
ENST00000427435.1	n/a	n/a
ENST00000452378.1	n/a	n/a
ENST00000437336.1	n/a	n/a
ENST00000428573.1	n/a	n/a
ENST00000458662.1	n/a	n/a
ENST00000443763.1	n/a	n/a
ENST00000443012.1	n/a	n/a
ENST00000431097.2	n/a	n/a
ENST00000634604.1	NR_119383	LINC01359
ENST00000644500.1	n/a	n/a
ENST00000434311.1	n/a	n/a
ENST00000413159.1	n/a	n/a
ENST00000429099.1	n/a	n/a
ENST00000455744.1	NR_125997	LOC102724450
ENST00000446057.1	n/a	n/a
ENST00000422768.1	n/a	n/a
ENST00000447050.1	n/a	n/a
ENST00000443135.1	n/a	n/a
ENST00000450004.1	n/a	n/a
ENST00000416634.1	n/a	n/a
ENST00000406739.2	n/a	n/a
ENST00000449154.1	NR_135509	LOC105378591
ENST00000441775.1	n/a	n/a
ENST00000457493.1	n/a	n/a
ENST00000427409.1	n/a	n/a
ENST00000431591.2	n/a	n/a
ENST00000432666.2	n/a	n/a
ENST00000453025.1	n/a	n/a
ENST00000420249.2	n/a	n/a
ENST00000440729.1	n/a	n/a
ENST00000418078.3	n/a	n/a
ENST00000457507.1	n/a	n/a
ENST00000435973.1	NR_146476	LINC01682
ENST00000457548.1	n/a	n/a
ENST00000413162.2	n/a	n/a
ENST00000448015.1	n/a	n/a
ENST00000425480.2	n/a	n/a
ENST00000434465.2	n/a	n/a
ENST00000431027.1	n/a	n/a
ENST00000426017.1	n/a	n/a
ENST00000650414.1	n/a	n/a
ENST00000443008.1	n/a	n/a
ENST00000447899.1	n/a	n/a
ENST00000427827.2	n/a	n/a
ENST00000426300.3	n/a	n/a
ENST00000416794.1	n/a	n/a
ENST00000431525.1	n/a	n/a
ENST00000427215.2	n/a	n/a
ENST00000641557.1	n/a	n/a
ENST00000436802.2	n/a	n/a
ENST00000438791.2	n/a	n/a
ENST00000425294.1	n/a	n/a
ENST00000436252.5	NR_029429	PGCP1
ENST00000435492.1	NR_146548	LINC01688
ENST00000427872.1	n/a	n/a
ENST00000475753.2	n/a	n/a
ENST00000422587.2	n/a	n/a
ENST00000476786.1	n/a	n/a
ENST00000453692.1	n/a	n/a
ENST00000439562.1	n/a	n/a
ENST00000488147.1	NR_024540	WASH7P
ENST00000424229.2	n/a	n/a
ENST00000417047.1	n/a	n/a
ENST00000454538.1	n/a	n/a
ENST00000444082.2	NR_024442	LOC728989
ENST00000451067.2	n/a	n/a
ENST00000453437.1	n/a	n/a
ENST00000448213.2	n/a	n/a
ENST00000452509.1	NR_038324	LINC01364
ENST00000413990.1	n/a	n/a
ENST00000600955.1	n/a	n/a
ENST00000443086.2	n/a	n/a
ENST00000648526.1	NR_033709	TP73-AS1
ENST00000419983.5	NR_121197	RABGAP1L-DT
ENST00000440059.1	n/a	n/a
ENST00000432683.1	NR_046659	ZMYM4-AS1
ENST00000417484.1	n/a	n/a
ENST00000432760.2	n/a	n/a
ENST00000430519.1	NR_146895	LINC01724
ENST00000424704.1	n/a	n/a
ENST00000441524.1	n/a	n/a
ENST00000427917.1	n/a	n/a
ENST00000424138.1	NR_123718	LOC101927139
ENST00000418091.1	n/a	n/a
ENST00000448264.1	n/a	n/a
ENST00000436207.2	n/a	n/a
ENST00000431759.5	NR_033967	SLC2A1-AS1
ENST00000391730.2	n/a	n/a
ENST00000451829.1	n/a	n/a
ENST00000419107.1	n/a	n/a
ENST00000458070.1	n/a	n/a
ENST00000419031.2	n/a	n/a
ENST00000443034.1	n/a	n/a
ENST00000441672.1	NR_134509	HSD11B1-AS1
ENST00000418582.1	n/a	n/a
ENST00000420550.1	n/a	n/a
ENST00000413855.2	n/a	n/a
ENST00000641214.1	NR_038856	LINC01132
ENST00000635451.1	NR_125998	LINC01714
ENST00000438361.2	n/a	n/a
ENST00000434394.1	n/a	n/a
ENST00000421406.1	n/a	n/a
ENST00000432858.1	n/a	n/a
ENST00000633627.1	n/a	n/a
ENST00000421166.1	NR_110983	SLC26A9-AS1
ENST00000415381.1	n/a	n/a
ENST00000621770.1	n/a	n/a
ENST00000457719.1	n/a	n/a
ENST00000636624.1	n/a	n/a
ENST00000398739.2	n/a	n/a
ENST00000599640.5	n/a	n/a
ENST00000415043.1	n/a	n/a
ENST00000426575.1	n/a	n/a
ENST00000418602.1	NR_123725	LOC729867
ENST00000431943.1	n/a	n/a
ENST00000436136.1	n/a	n/a
ENST00000439577.1	n/a	n/a
ENST00000430123.1	NR_131925	LINC01693
ENST00000458371.1	n/a	n/a
ENST00000577672.1	n/a	n/a
ENST00000457236.1	n/a	n/a
ENST00000449688.1	n/a	n/a
ENST00000430373.1	NR_038951	INKA2-AS1
ENST00000440296.2	n/a	n/a
ENST00000430905.1	n/a	n/a
ENST00000453250.1	n/a	n/a
ENST00000419651.1	n/a	n/a
ENST00000422215.1	n/a	n/a
ENST00000452785.2	NR_125987	LOC101929626
ENST00000445624.1	n/a	n/a
ENST00000566855.3	NM_001242521	TEX46
ENST00000439324.2	n/a	n/a
ENST00000427294.1	n/a	n/a
ENST00000419030.1	n/a	n/a
ENST00000417644.1	n/a	n/a
ENST00000431729.1	NR_125989	LINC01655
ENST00000413346.1	n/a	n/a
ENST00000422038.1	n/a	n/a
ENST00000456663.1	n/a	n/a
ENST00000448988.1	NR_135085	LINC01696
ENST00000447827.1	n/a	n/a
ENST00000454285.1	n/a	n/a
ENST00000433407.1	n/a	n/a
ENST00000421003.5	NR_015422	LINC01341
ENST00000424774.1	n/a	n/a
ENST00000439024.1	n/a	n/a
ENST00000254724.6	n/a	n/a
ENST00000449169.1	NR_036595	RBM15-AS1
ENST00000452683.1	n/a	n/a
ENST00000442754.1	n/a	n/a
ENST00000424435.1	NR_147855	IL6R-AS1
ENST00000411735.2	n/a	n/a
ENST00000425449.1	NR_157569	NGF-AS1
ENST00000424215.1	NR_121638,	LOC100996583,
ENST00000416137.1	n/a	n/a
ENST00000417805.1	NR_125944	LOC101927787
ENST00000427731.2	n/a	n/a
ENST00000440942.1	n/a	n/a
ENST00000425785.1	n/a	n/a
ENST00000445339.1	NR_135116	LINC01736
ENST00000415255.1	NR_125979	PABPC4-AS1
ENST00000441331.1	NR_038845	LYPLAL1-DT
ENST00000423842.1	NR_125985	LINC01740
ENST00000444669.2	n/a	n/a
ENST00000431570.1	n/a	n/a
ENST00000454219.1	n/a	n/a
ENST00000432210.1	n/a	n/a
ENST00000435552.1	NR_147205	LINC01757
ENST00000435378.5	n/a	n/a
ENST00000442505.2	n/a	n/a
ENST00000412562.1	n/a	n/a
ENST00000416894.1	NR_051960	FALEC
ENST00000634255.1	NR_125969	LINC01649
ENST00000427824.1	n/a	n/a
ENST00000445884.1	NM_001297778	NMNAT1
ENST00000435021.1	n/a	n/a
ENST00000446021.1	n/a	n/a
ENST00000442055.5	n/a	n/a
ENST00000380526.2	NR_002830	GEMIN8P4
ENST00000422638.1	n/a	n/a
ENST00000458048.1	n/a	n/a
ENST00000441715.2	n/a	n/a
ENST00000426359.1	n/a	n/a
ENST00000414798.1	n/a	n/a
ENST00000423212.1	n/a	n/a
ENST00000641626.1	n/a	n/a
ENST00000443836.5	NR_146760	C1orf143
ENST00000430776.2	n/a	n/a
ENST00000423940.1	n/a	n/a
ENST00000432559.2	n/a	n/a
ENST00000418985.1	NR_038827	EFCAB14-AS1
ENST00000456921.1	n/a	n/a
ENST00000449345.1	n/a	n/a
ENST00000376781.2	n/a	n/a
ENST00000456240.1	n/a	n/a
ENST00000436275.1	n/a	n/a
ENST00000417262.5	NR_046325	PCAT6
ENST00000412705.1	n/a	n/a
ENST00000436955.1	NR_110793	LINC01350
ENST00000506640.2	NR_028327	LOC100133331
ENST00000446393.2	n/a	n/a
ENST00000438401.1	NR_146629,	LINC01784,
ENST00000432567.1	n/a	n/a
ENST00000442409.1	n/a	n/a
ENST00000428794.1	NR_126385	TXNDC12-AS1
ENST00000412918.1	NR_103784	ITPKB-IT1
ENST00000635097.1	NR_110692	LINC01635
ENST00000455561.1	n/a	n/a
ENST00000414059.2	n/a	n/a
ENST00000453347.1	n/a	n/a
ENST00000433876.2	n/a	n/a
ENST00000439327.1	n/a	n/a
ENST00000433671.2	NR_135048	LOC105378663
ENST00000441160.1	NR_149071	LINC02474
ENST00000447572.1	n/a	n/a
ENST00000439856.1	n/a	n/a
ENST00000441866.2	n/a	n/a
ENST00000443622.1	n/a	n/a
ENST00000438210.1	n/a	n/a
ENST00000415278.1	n/a	n/a
ENST00000423410.1	NR_135588	LINC01760
ENST00000432257.1	n/a	n/a
ENST00000438895.1	n/a	n/a
ENST00000635687.1	NR_132742	MIR34AHG
ENST00000439946.1	n/a	n/a
ENST00000441790.2	n/a	n/a
ENST00000453525.1	n/a	n/a
ENST00000619677.1	n/a	n/a
ENST00000431862.1	n/a	n/a
ENST00000436160.1	n/a	n/a
ENST00000422725.3	NM_001242659	FNDC10
ENST00000442130.1	NR_147618	LOC100287049
ENST00000424451.1	n/a	n/a
ENST00000441281.1	n/a	n/a
ENST00000447478.1	n/a	n/a
ENST00000484151.1	n/a	n/a
ENST00000451731.1	n/a	n/a
ENST00000434429.2	n/a	n/a
ENST00000426030.2	n/a	n/a
ENST00000454090.1	n/a	n/a
ENST00000636459.1	NR_037851	LOC100505918
ENST00000369843.3	n/a	n/a
ENST00000435693.1	n/a	n/a
ENST00000449140.2	n/a	n/a
ENST00000635092.1	NR_104620	LINC01672
ENST00000434936.2	n/a	n/a
ENST00000452024.2	n/a	n/a
ENST00000445118.6	NR_047521	LINC01128
ENST00000451892.1	n/a	n/a
ENST00000443127.1	n/a	n/a
ENST00000437523.2	n/a	n/a
ENST00000436039.1	n/a	n/a
ENST00000421637.1	n/a	n/a
ENST00000420757.1	n/a	n/a
ENST00000444665.5	n/a	n/a
ENST00000453121.1	NR_046218	NEGR1-IT1
ENST00000598917.6	n/a	n/a
ENST00000413092.1	n/a	n/a
ENST00000447167.1	n/a	n/a
ENST00000608183.1	NR_104175	LINC01344
ENST00000437890.1	n/a	n/a
ENST00000417120.1	n/a	n/a
ENST00000413739.1	n/a	n/a
ENST00000443484.1	n/a	n/a
ENST00000449978.2	n/a	n/a
ENST00000456933.1	NR_110622	LINC02607
ENST00000414775.1	n/a	n/a
ENST00000422107.1	n/a	n/a
ENST00000440916.1	n/a	n/a
ENST00000450968.1	n/a	n/a
ENST00000434965.1	n/a	n/a
ENST00000460134.2	NR_002796,	AKR7A2P1,
ENST00000432386.1	NR_103561	NBPF18P
ENST00000414898.1	n/a	n/a
ENST00000422551.1	n/a	n/a
ENST00000290702.4	n/a	n/a
ENST00000430143.1	n/a	n/a
ENST00000419450.1	NR_125938	LINC01788
ENST00000602631.1	n/a	n/a
ENST00000439897.1	n/a	n/a
ENST00000422460.1	n/a	n/a
ENST00000412176.1	n/a	n/a
ENST00000426536.1	n/a	n/a
ENST00000429682.2	n/a	n/a
ENST00000444127.1	n/a	n/a
ENST00000456316.1	n/a	n/a
ENST00000435872.1	n/a	n/a
ENST00000458003.1	n/a	n/a
ENST00000435832.1	n/a	n/a
ENST00000446772.1	n/a	n/a
ENST00000422446.1	n/a	n/a
ENST00000427547.1	n/a	n/a
ENST00000448058.1	NR_034037	LINC00582
ENST00000451300.2	n/a	n/a
ENST00000414995.1	n/a	n/a
ENST00000428860.2	n/a	n/a
ENST00000450847.1	n/a	n/a
ENST00000430623.5	NR_135820	LPGAT1-AS1
ENST00000454917.1	n/a	n/a
ENST00000449232.1	n/a	n/a
ENST00000426321.1	n/a	n/a
ENST00000443207.1	n/a	n/a
ENST00000435739.1	n/a	n/a
ENST00000453364.1	n/a	n/a
ENST00000435986.1	n/a	n/a
ENST00000412993.2	n/a	n/a
ENST00000427426.1	n/a	n/a
ENST00000444386.1	n/a	n/a
ENST00000443545.1	n/a	n/a
ENST00000412108.1	NR_023916	PIN1P1
ENST00000425149.1	n/a	n/a
ENST00000396885.2	NR_046744	SZT2-AS1
ENST00000440782.3	n/a	n/a
ENST00000420776.1	NR_146731	LINC01715
ENST00000442305.1	n/a	n/a
ENST00000413568.1	n/a	n/a
ENST00000431691.1	n/a	n/a
ENST00000415218.1	n/a	n/a
ENST00000436713.1	n/a	n/a
ENST00000421309.1	n/a	n/a
ENST00000437753.1	NR_125986	LOC101929592
ENST00000452686.2	n/a	n/a
ENST00000412098.2	n/a	n/a
ENST00000416696.1	n/a	n/a
ENST00000421341.2	n/a	n/a
ENST00000417340.1	n/a	n/a
ENST00000426884.1	n/a	n/a
ENST00000456162.2	n/a	n/a
ENST00000414199.1	n/a	n/a
ENST00000452442.5	NR_121196	LOC101928696
ENST00000641890.1	NR_146605	LINC01739
ENST00000413752.2	n/a	n/a
ENST00000423010.1	n/a	n/a
ENST00000438477.2	n/a	n/a
ENST00000614839.4	NM_001306072,	PRAMEF26,
ENST00000425271.1	n/a	n/a
ENST00000435008.1	n/a	n/a
ENST00000440358.1	n/a	n/a
ENST00000452524.1	n/a	n/a
ENST00000452808.1	n/a	n/a
ENST00000430398.2	n/a	n/a
ENST00000448001.1	NR_147164	LINC01758
ENST00000381357.4	n/a	n/a
ENST00000452580.2	n/a	n/a
ENST00000427780.1	n/a	n/a
ENST00000433953.2	n/a	n/a
ENST00000427145.1	NR_110685	LOC101928009
ENST00000611154.3	NR_125950	LYPD9P
ENST00000434793.1	n/a	n/a
ENST00000436229.2	n/a	n/a
ENST00000451972.1	n/a	n/a
ENST00000622121.1	NR_126002	LOC102724919
ENST00000441469.1	n/a	n/a
ENST00000458156.1	n/a	n/a
ENST00000417407.1	n/a	n/a
ENST00000426573.2	n/a	n/a
ENST00000441613.1	NR_046668	UBE2Q1-AS1
ENST00000458247.1	n/a	n/a
ENST00000440710.1	n/a	n/a
ENST00000434479.2	n/a	n/a
ENST00000457671.1	n/a	n/a
ENST00000428976.1	n/a	n/a
ENST00000438601.2	n/a	n/a
ENST00000453155.1	n/a	n/a
ENST00000420737.2	NR_146087	PDE4DIPP1
ENST00000447949.1	n/a	n/a
ENST00000438679.2	n/a	n/a
ENST00000438531.1	n/a	n/a
ENST00000456002.2	n/a	n/a
ENST00000431627.1	n/a	n/a
ENST00000441455.1	n/a	n/a
ENST00000631770.1	n/a	n/a
ENST00000429109.1	NR_135817,	LOC101929901,
ENST00000422528.1	n/a	n/a
ENST00000427122.2	n/a	n/a
ENST00000425435.1	n/a	n/a
ENST00000439139.1	n/a	n/a
ENST00000414742.1	n/a	n/a
ENST00000438619.1	n/a	n/a
ENST00000448869.1	n/a	n/a
ENST00000583678.5	NR_046217	ZRANB2-AS2
ENST00000441338.1	n/a	n/a
ENST00000457239.2	n/a	n/a
ENST00000411586.1	n/a	n/a
ENST00000448180.1	NR_111947,	PRAMEF34P,
